parametro,valor,semilla,ganador,estrategia,turno_final,cuota_final,combates,bajas,turno_inflexion,eventos,cancelados,aleatorios,ganador_guerra_continua
k_bajas,0.7,20260827,cimeria,ECONÓMICA,200,0.5417,19,786.45,26,1414,7,38,0
k_bajas,0.7,20260828,cimeria,ECONÓMICA,33,0.6667,13,611.72,20,405,16,26,0
k_bajas,0.7,20260829,cimeria,ECONÓMICA,34,0.6250,14,557.85,20,407,12,28,0
k_bajas,0.7,20260830,cimeria,ECONÓMICA,200,0.5417,22,884.50,23,1444,11,44,0
k_bajas,0.7,20260831,cimeria,ECONÓMICA,200,0.5000,24,889.60,21,1249,11,48,0
k_bajas,0.7,20260832,cimeria,ECONÓMICA,34,0.6250,14,587.75,20,409,12,28,0
k_bajas,0.7,20260833,cimeria,ECONÓMICA,33,0.6667,13,619.53,20,405,17,26,0
k_bajas,0.7,20260834,cimeria,ECONÓMICA,200,0.5000,16,808.21,23,1416,12,32,0
k_bajas,0.9,20260805,cimeria,ECONÓMICA,200,0.5833,17,916.13,24,1632,13,34,0
k_bajas,0.9,20260806,cimeria,ECONÓMICA,200,0.5833,18,706.08,20,1402,15,36,0
k_bajas,0.9,20260807,cimeria,ECONÓMICA,200,0.5833,12,532.21,18,1418,17,24,0
k_bajas,0.9,20260808,cimeria,ECONÓMICA,200,0.5833,25,1078.58,24,1489,17,50,0
k_bajas,0.9,20260809,cimeria,ECONÓMICA,200,0.5833,26,1049.95,24,1491,18,52,0
k_bajas,0.9,20260810,cimeria,ECONÓMICA,200,0.5833,19,763.80,20,1405,15,38,0
k_bajas,0.9,20260811,cimeria,ECONÓMICA,200,0.5833,12,516.55,18,1418,17,24,0
k_bajas,0.9,20260812,cimeria,ECONÓMICA,200,0.5417,19,876.85,24,1621,11,38,0
k_bajas,0.9,20260813,cimeria,ECONÓMICA,34,0.6250,14,569.97,20,409,12,28,0
k_bajas,0.9,20260814,cimeria,ECONÓMICA,200,0.5833,15,638.23,22,1395,14,30,0
k_bajas,0.9,20260815,cimeria,ECONÓMICA,34,0.6250,14,577.15,20,409,12,28,0
k_bajas,0.9,20260816,cimeria,ECONÓMICA,200,0.5417,17,936.72,58,1635,12,34,0
k_bajas,0.9,20260817,cimeria,ECONÓMICA,34,0.6250,14,578.71,20,414,12,28,0
k_bajas,0.9,20260818,cimeria,ECONÓMICA,37,0.6667,18,710.63,20,433,13,36,0
k_bajas,0.9,20260819,cimeria,ECONÓMICA,200,0.5417,18,940.07,25,1420,9,36,0
k_bajas,0.9,20260820,cimeria,ECONÓMICA,200,0.5417,22,1172.66,24,1603,17,44,0
k_bajas,0.9,20260821,cimeria,ECONÓMICA,200,0.5833,18,729.51,20,1402,15,36,0
k_bajas,0.9,20260822,cimeria,ECONÓMICA,34,0.6250,14,556.08,20,409,12,28,0
k_bajas,0.9,20260823,cimeria,ECONÓMICA,200,0.5417,21,1071.59,24,1437,15,42,0
