experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
desgaste,kBeta,0.5,1063,galia,19,5,11,1281
desgaste,kBeta,0.5,1064,galia,19,5,11,1281
desgaste,kBeta,0.5,1065,galia,19,5,11,1281
desgaste,kBeta,0.5,1066,galia,19,5,11,1281
desgaste,kBeta,0.5,1067,galia,19,5,11,1281
desgaste,kBeta,0.5,1068,grecia,21,8,11,0
desgaste,kBeta,0.5,1069,galia,19,5,11,1281
desgaste,kBeta,0.5,1070,galia,19,5,11,1281
desgaste,kBeta,0.5,1071,galia,19,5,11,1281
desgaste,kBeta,0.5,1072,galia,200,358,10,0
desgaste,kBeta,0.5,1073,galia,19,5,11,1281
desgaste,kBeta,0.5,1074,galia,19,5,11,1281
desgaste,kBeta,0.5,1075,galia,19,5,11,1281
desgaste,kBeta,0.5,1076,galia,19,5,11,1281
desgaste,kBeta,0.5,1077,galia,19,5,11,1281
desgaste,kBeta,0.5,1078,galia,19,5,11,1281
desgaste,kBeta,0.5,1079,galia,19,5,11,1281
desgaste,kBeta,0.5,1080,galia,19,5,11,1281
desgaste,kBeta,0.5,1081,galia,19,5,11,1281
desgaste,kBeta,0.5,1082,galia,19,5,11,1281
desgaste,kBeta,0.5,1083,galia,19,5,11,1281
desgaste,kBeta,0.5,1084,galia,19,5,11,1281
desgaste,kBeta,0.5,1085,galia,19,5,11,1281
desgaste,kBeta,0.5,1086,galia,19,5,11,1281
desgaste,kBeta,0.5,1087,galia,19,5,11,1281
desgaste,kBeta,0.5,1088,galia,19,5,11,1281
desgaste,kBeta,0.5,1089,galia,19,5,11,1281
desgaste,kBeta,0.5,1090,galia,19,5,11,1281
desgaste,kBeta,0.5,1091,galia,19,5,11,1281
desgaste,kBeta,0.5,1092,galia,19,5,11,1281
desgaste,kBeta,0.5,1093,galia,19,5,11,1281
desgaste,kBeta,0.5,1094,galia,19,5,11,1281
desgaste,kBeta,0.5,1095,galia,19,5,11,1281
desgaste,kBeta,0.5,1096,galia,19,5,11,1281
desgaste,kBeta,0.5,1097,galia,200,366,10,0
desgaste,kBeta,0.5,1098,galia,19,5,11,1281
desgaste,kBeta,0.5,1099,galia,200,366,10,0
desgaste,kBeta,0.7,1000,galia,19,5,11,1281
desgaste,kBeta,0.7,1001,galia,19,5,11,1281
desgaste,kBeta,0.7,1002,galia,200,366,10,0
desgaste,kBeta,0.7,1003,galia,200,366,10,0
desgaste,kBeta,0.7,1004,galia,200,366,10,0
desgaste,kBeta,0.7,1005,galia,200,366,10,0
desgaste,kBeta,0.7,1006,grecia,22,6,12,0
desgaste,kBeta,0.7,1007,grecia,21,6,12,0
desgaste,kBeta,0.7,1008,galia,200,366,10,0
desgaste,kBeta,0.7,1009,galia,19,5,11,1281
desgaste,kBeta,0.7,1010,grecia,21,8,11,0
desgaste,kBeta,0.7,1011,galia,200,366,10,0
desgaste,kBeta,0.7,1012,grecia,21,8,11,0
desgaste,kBeta,0.7,1013,galia,19,5,11,1281
desgaste,kBeta,0.7,1014,galia,19,5,11,1281
desgaste,kBeta,0.7,1015,galia,200,366,10,0
desgaste,kBeta,0.7,1016,galia,200,366,10,0
desgaste,kBeta,0.7,1017,galia,19,5,11,1281
desgaste,kBeta,0.7,1018,galia,200,358,9,0
desgaste,kBeta,0.7,1019,galia,19,5,11,1281
desgaste,kBeta,0.7,1020,galia,19,5,11,1281
desgaste,kBeta,0.7,1021,galia,200,366,10,0
desgaste,kBeta,0.7,1022,galia,19,5,11,1281
desgaste,kBeta,0.7,1023,galia,200,366,10,0
desgaste,kBeta,0.7,1024,grecia,21,6,12,0
desgaste,kBeta,0.7,1025,galia,19,5,11,1281
desgaste,kBeta,0.7,1026,grecia,21,8,11,0
desgaste,kBeta,0.7,1027,galia,19,5,11,1281
desgaste,kBeta,0.7,1028,galia,19,5,11,1281
desgaste,kBeta,0.7,1029,galia,19,5,11,1281
desgaste,kBeta,0.7,1030,galia,200,366,10,0
desgaste,kBeta,0.7,1031,galia,19,5,11,1281
desgaste,kBeta,0.7,1032,galia,200,366,10,0
desgaste,kBeta,0.7,1033,galia,19,5,11,1281
desgaste,kBeta,0.7,1034,galia,200,366,10,0
desgaste,kBeta,0.7,1035,galia,19,5,11,1281
desgaste,kBeta,0.7,1036,galia,19,5,11,1281
desgaste,kBeta,0.7,1037,galia,200,366,10,0
desgaste,kBeta,0.7,1038,galia,200,366,10,0
desgaste,kBeta,0.7,1039,galia,19,5,11,1281
desgaste,kBeta,0.7,1040,galia,19,5,11,1281
desgaste,kBeta,0.7,1041,galia,19,5,11,1281
desgaste,kBeta,0.7,1042,galia,19,5,11,1281
desgaste,kBeta,0.7,1043,galia,200,366,10,0
desgaste,kBeta,0.7,1044,galia,19,5,11,1281
desgaste,kBeta,0.7,1045,galia,19,5,11,1281
desgaste,kBeta,0.7,1046,galia,200,366,10,0
desgaste,kBeta,0.7,1047,galia,19,5,11,1281
desgaste,kBeta,0.7,1048,galia,19,5,11,1281
desgaste,kBeta,0.7,1049,galia,200,366,10,0
desgaste,kBeta,0.7,1050,grecia,22,6,12,0
desgaste,kBeta,0.7,1051,galia,19,5,11,1281
desgaste,kBeta,0.7,1052,grecia,21,8,11,0
desgaste,kBeta,0.7,1053,galia,19,5,11,1281
desgaste,kBeta,0.7,1054,galia,200,366,10,0
desgaste,kBeta,0.7,1055,galia,200,366,10,0
desgaste,kBeta,0.7,1056,galia,200,358,9,0
desgaste,kBeta,0.7,1057,galia,200,366,10,0
