experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
crecimiento,gL,0.01,1074,galia,200,366,10,0
crecimiento,gL,0.01,1075,galia,200,366,10,0
crecimiento,gL,0.01,1076,galia,200,366,10,0
crecimiento,gL,0.01,1077,galia,200,366,10,0
crecimiento,gL,0.01,1078,galia,200,366,10,0
crecimiento,gL,0.01,1079,galia,200,358,9,0
crecimiento,gL,0.01,1080,galia,200,366,10,0
crecimiento,gL,0.01,1081,galia,200,366,10,0
crecimiento,gL,0.01,1082,galia,19,5,11,1281
crecimiento,gL,0.01,1083,galia,200,366,10,0
crecimiento,gL,0.01,1084,galia,19,5,11,1281
crecimiento,gL,0.01,1085,galia,19,5,11,1281
crecimiento,gL,0.01,1086,galia,19,5,11,1281
crecimiento,gL,0.01,1087,galia,200,366,10,0
crecimiento,gL,0.01,1088,galia,19,5,11,1281
crecimiento,gL,0.01,1089,galia,19,5,11,1281
crecimiento,gL,0.01,1090,galia,200,366,10,0
crecimiento,gL,0.01,1091,galia,19,5,11,1281
crecimiento,gL,0.01,1092,galia,200,366,10,0
crecimiento,gL,0.01,1093,galia,200,366,10,0
crecimiento,gL,0.01,1094,grecia,22,6,12,0
crecimiento,gL,0.01,1095,galia,200,366,10,0
crecimiento,gL,0.01,1096,grecia,21,8,11,0
crecimiento,gL,0.01,1097,galia,19,5,11,1281
crecimiento,gL,0.01,1098,galia,200,366,10,0
crecimiento,gL,0.01,1099,grecia,22,6,12,0
crecimiento,gL,0.02,1000,grecia,21,6,12,0
crecimiento,gL,0.02,1001,grecia,22,6,12,0
crecimiento,gL,0.02,1002,grecia,200,366,9,0
crecimiento,gL,0.02,1003,grecia,200,363,10,0
crecimiento,gL,0.02,1004,grecia,200,363,10,0
crecimiento,gL,0.02,1005,grecia,200,363,10,0
crecimiento,gL,0.02,1006,grecia,200,364,10,0
crecimiento,gL,0.02,1007,grecia,200,363,10,0
crecimiento,gL,0.02,1008,grecia,200,363,10,0
crecimiento,gL,0.02,1009,grecia,22,6,12,0
crecimiento,gL,0.02,1010,grecia,200,364,10,0
crecimiento,gL,0.02,1011,grecia,200,363,10,0
crecimiento,gL,0.02,1012,galia,200,358,9,0
crecimiento,gL,0.02,1013,grecia,200,363,10,0
crecimiento,gL,0.02,1014,galia,19,3,11,1389
crecimiento,gL,0.02,1015,grecia,200,366,9,0
crecimiento,gL,0.02,1016,grecia,200,363,10,0
crecimiento,gL,0.02,1017,grecia,200,363,10,0
crecimiento,gL,0.02,1018,grecia,200,363,10,0
crecimiento,gL,0.02,1019,galia,200,358,9,0
crecimiento,gL,0.02,1020,galia,200,357,9,0
crecimiento,gL,0.02,1021,grecia,200,363,10,0
crecimiento,gL,0.02,1022,grecia,21,8,11,35
crecimiento,gL,0.02,1023,grecia,200,364,10,0
crecimiento,gL,0.02,1024,grecia,200,363,10,0
crecimiento,gL,0.02,1025,grecia,200,363,10,0
crecimiento,gL,0.02,1026,galia,200,358,9,0
crecimiento,gL,0.02,1027,galia,200,357,9,0
crecimiento,gL,0.02,1028,grecia,200,363,10,0
crecimiento,gL,0.02,1029,galia,200,357,9,0
crecimiento,gL,0.02,1030,grecia,200,366,9,0
crecimiento,gL,0.02,1031,grecia,21,8,11,34
crecimiento,gL,0.02,1032,grecia,200,366,9,0
crecimiento,gL,0.02,1033,grecia,200,366,9,0
crecimiento,gL,0.02,1034,grecia,200,366,9,0
crecimiento,gL,0.02,1035,galia,200,358,9,0
crecimiento,gL,0.02,1036,grecia,22,6,12,0
crecimiento,gL,0.02,1037,grecia,200,366,9,0
crecimiento,gL,0.02,1038,grecia,200,363,10,0
crecimiento,gL,0.02,1039,grecia,21,8,11,34
crecimiento,gL,0.02,1040,grecia,21,8,11,35
crecimiento,gL,0.02,1041,grecia,200,363,10,0
crecimiento,gL,0.02,1042,grecia,200,366,9,0
