experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
fortificacion,betaF,0.1,1062,galia,200,358,9,0
fortificacion,betaF,0.1,1063,galia,200,358,9,0
fortificacion,betaF,0.1,1064,galia,200,357,10,0
fortificacion,betaF,0.1,1065,galia,200,366,10,0
fortificacion,betaF,0.1,1066,galia,200,366,10,0
fortificacion,betaF,0.1,1067,galia,200,366,10,0
fortificacion,betaF,0.1,1068,galia,200,366,10,0
fortificacion,betaF,0.1,1069,grecia,21,6,12,0
fortificacion,betaF,0.1,1070,galia,200,357,10,0
fortificacion,betaF,0.1,1071,galia,19,5,11,1281
fortificacion,betaF,0.1,1072,galia,200,358,9,0
fortificacion,betaF,0.1,1073,galia,200,366,10,0
fortificacion,betaF,0.1,1074,galia,200,366,10,0
fortificacion,betaF,0.1,1075,galia,200,366,10,0
fortificacion,betaF,0.1,1076,galia,200,366,10,0
fortificacion,betaF,0.1,1077,galia,200,366,10,0
fortificacion,betaF,0.1,1078,galia,200,366,10,0
fortificacion,betaF,0.1,1079,galia,200,358,9,0
fortificacion,betaF,0.1,1080,galia,200,366,10,0
fortificacion,betaF,0.1,1081,galia,200,366,10,0
fortificacion,betaF,0.1,1082,galia,19,5,11,1281
fortificacion,betaF,0.1,1083,galia,200,366,10,0
fortificacion,betaF,0.1,1084,grecia,21,8,11,0
fortificacion,betaF,0.1,1085,galia,200,366,10,0
fortificacion,betaF,0.1,1086,galia,19,5,11,1281
fortificacion,betaF,0.1,1087,galia,200,366,10,0
fortificacion,betaF,0.1,1088,galia,200,358,9,0
fortificacion,betaF,0.1,1089,galia,200,357,10,0
fortificacion,betaF,0.1,1090,galia,200,366,10,0
fortificacion,betaF,0.1,1091,galia,19,5,11,1281
fortificacion,betaF,0.1,1092,galia,200,366,10,0
fortificacion,betaF,0.1,1093,galia,200,366,10,0
fortificacion,betaF,0.1,1094,grecia,21,6,12,0
fortificacion,betaF,0.1,1095,grecia,21,8,11,0
fortificacion,betaF,0.1,1096,grecia,21,8,11,0
fortificacion,betaF,0.1,1097,galia,19,5,11,1281
fortificacion,betaF,0.1,1098,galia,200,366,10,0
fortificacion,betaF,0.1,1099,grecia,22,6,12,0
fortificacion,betaF,0.15,1000,galia,19,5,11,1281
fortificacion,betaF,0.15,1001,galia,19,5,11,1281
fortificacion,betaF,0.15,1002,galia,200,366,10,0
fortificacion,betaF,0.15,1003,galia,200,366,10,0
fortificacion,betaF,0.15,1004,galia,200,366,10,0
fortificacion,betaF,0.15,1005,galia,200,366,10,0
fortificacion,betaF,0.15,1006,grecia,22,6,12,0
fortificacion,betaF,0.15,1007,grecia,21,6,12,0
fortificacion,betaF,0.15,1008,galia,200,366,10,0
fortificacion,betaF,0.15,1009,galia,19,5,11,1281
fortificacion,betaF,0.15,1010,grecia,21,8,11,0
fortificacion,betaF,0.15,1011,galia,200,366,10,0
fortificacion,betaF,0.15,1012,grecia,21,8,11,0
fortificacion,betaF,0.15,1013,galia,19,5,11,1281
fortificacion,betaF,0.15,1014,galia,19,5,11,1281
fortificacion,betaF,0.15,1015,galia,200,366,10,0
fortificacion,betaF,0.15,1016,galia,200,366,10,0
fortificacion,betaF,0.15,1017,galia,19,5,11,1281
fortificacion,betaF,0.15,1018,galia,200,358,9,0
fortificacion,betaF,0.15,1019,galia,19,5,11,1281
fortificacion,betaF,0.15,1020,galia,19,5,11,1281
fortificacion,betaF,0.15,1021,galia,200,366,10,0
fortificacion,betaF,0.15,1022,galia,19,5,11,1281
fortificacion,betaF,0.15,1023,galia,200,366,10,0
fortificacion,betaF,0.15,1024,grecia,21,6,12,0
fortificacion,betaF,0.15,1025,galia,19,5,11,1281
fortificacion,betaF,0.15,1026,grecia,21,8,11,0
fortificacion,betaF,0.15,1027,galia,19,5,11,1281
fortificacion,betaF,0.15,1028,galia,19,5,11,1281
fortificacion,betaF,0.15,1029,galia,19,5,11,1281
fortificacion,betaF,0.15,1030,galia,200,366,10,0
fortificacion,betaF,0.15,1031,galia,19,5,11,1281
fortificacion,betaF,0.15,1032,galia,200,366,10,0
fortificacion,betaF,0.15,1033,galia,19,5,11,1281
fortificacion,betaF,0.15,1034,galia,200,366,10,0
fortificacion,betaF,0.15,1035,galia,19,5,11,1281
fortificacion,betaF,0.15,1036,galia,19,5,11,1281
fortificacion,betaF,0.15,1037,galia,200,366,10,0
